orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
879,8.3,Distinction,3,7.02,6.74,2.8,2.0,3.0,3.0,1.0,0.28,6.85,1.45,False,low,True,low_similarity|small_cluster
927,7.67,Distinction,44,9.6,4.42,1.6,2.0,2.0,1.0,0.9,5.18,6.11,1.56,False,low,True,high_disparity|small_cluster
917,8.0,Distinction,8,7.91,6.74,2.8,2.0,3.0,3.0,1.0,1.17,7.21,0.79,True,high,False,
894,8.0,Distinction,0,8.56,5.06,1.8,1.0,2.0,2.0,0.95,3.5,6.29,1.71,False,medium,False,high_disparity
870,8.33,Distinction,0,8.64,6.74,2.8,2.0,3.0,3.0,0.825,1.9,6.9,1.43,False,high,False,
925,7.9,Distinction,38,7.38,6.74,2.8,2.0,3.0,3.0,1.0,0.64,6.99,0.91,True,high,False,
907,8.0,Distinction,8,7.4,6.22,2.4,2.0,2.0,3.0,1.0,1.18,6.69,1.31,False,medium,False,low_similarity
935,7.5,Distinction,17,5.76,7.0,3.0,3.0,3.0,3.0,1.0,1.24,6.51,0.99,True,high,False,
912,8.0,Distinction,37,9.36,6.74,2.8,2.0,3.0,3.0,0.825,2.62,7.13,0.87,True,medium,False,high_disparity
938,7.5,Distinction,38,7.57,6.74,2.8,2.0,3.0,3.0,1.0,0.83,7.07,0.43,True,high,False,
882,8.3,Distinction,25,8.57,6.74,2.8,2.0,3.0,3.0,1.0,1.83,7.47,0.83,True,low,True,low_similarity|small_cluster
926,7.83,Distinction,32,9.17,5.06,1.8,1.0,2.0,2.0,0.95,4.11,6.52,1.31,False,medium,False,high_disparity
888,8.0,Distinction,43,8.61,7.2,3.2,2.0,4.0,3.0,1.0,1.41,7.76,0.24,True,high,False,
905,8.0,Distinction,17,5.9,7.2,3.2,2.0,4.0,3.0,1.0,1.3,6.68,1.32,False,high,False,
876,8.33,Distinction,36,9.17,3.78,1.4,1.0,1.0,2.0,1.0,5.39,5.93,2.4,False,low,True,high_disparity|low_similarity
918,8.0,Distinction,25,8.39,7.4,3.4,3.0,4.0,3.0,1.0,0.99,7.79,0.21,True,medium,False,small_cluster
866,8.33,Distinction,36,9.02,7.2,3.2,2.0,4.0,3.0,1.0,1.82,7.93,0.4,True,high,False,
715,9.67,HD,33,9.27,7.2,3.2,2.0,4.0,3.0,1.0,2.07,8.03,1.64,False,low,True,high_disparity|low_similarity
605,10.0,HD,0,9.25,4.42,1.6,2.0,1.0,2.0,0.9,4.83,5.98,4.02,False,medium,False,high_disparity
120,10.0,HD,10,7.68,5.06,1.8,1.0,2.0,2.0,1.0,2.62,6.11,3.89,False,medium,False,high_disparity
208,10.0,HD,22,8.97,5.7,2.0,2.0,2.0,2.0,1.0,3.27,7.01,2.99,False,medium,False,high_disparity
380,10.0,HD,20,9.98,5.96,2.2,1.0,2.0,3.0,0.675,4.02,6.27,3.73,False,medium,False,high_disparity
817,9.0,HD,0,8.36,6.74,2.8,2.0,3.0,3.0,1.0,1.62,7.39,1.61,False,high,False,
575,10.0,HD,7,6.94,6.22,2.4,2.0,2.0,3.0,1.0,0.72,6.51,3.49,False,high,False,
266,10.0,HD,22,8.54,6.22,2.4,2.0,2.0,3.0,1.0,2.32,7.15,2.85,False,medium,False,high_disparity
557,10.0,HD,2,10.0,6.74,2.8,2.0,3.0,3.0,1.0,3.26,8.04,1.96,False,medium,False,high_disparity
