k,alpha,min_multiplier,s1_weight,disparity_threshold,similarity_threshold,cluster_size_threshold,accuracy,mae,rmse,flag_rate,n_correct,n_flagged,n_total
3,0.1,0.3,0.5,4.0,0.4,15,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,4.0,0.4,20,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,4.0,0.5,10,68.0,1.121,1.456,4.0,17,1,25
3,0.1,0.3,0.5,4.0,0.5,15,68.0,1.121,1.456,12.0,17,3,25
3,0.1,0.3,0.5,4.0,0.5,20,68.0,1.121,1.456,16.0,17,4,25
3,0.1,0.3,0.5,4.0,0.6,10,68.0,1.121,1.456,16.0,17,4,25
3,0.1,0.3,0.5,4.0,0.6,15,68.0,1.121,1.456,36.0,17,9,25
3,0.1,0.3,0.5,4.0,0.6,20,68.0,1.121,1.456,40.0,17,10,25
3,0.1,0.3,0.5,4.0,0.7,10,68.0,1.121,1.456,20.0,17,5,25
3,0.1,0.3,0.5,4.0,0.7,15,68.0,1.121,1.456,40.0,17,10,25
3,0.1,0.3,0.5,4.0,0.7,20,68.0,1.121,1.456,44.0,17,11,25
3,0.1,0.3,0.6,2.0,0.4,10,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,2.0,0.4,15,68.0,1.158,1.525,28.0,17,7,25
3,0.1,0.3,0.6,2.0,0.4,20,68.0,1.158,1.525,28.0,17,7,25
3,0.1,0.3,0.6,2.0,0.5,10,68.0,1.158,1.525,16.0,17,4,25
3,0.1,0.3,0.6,2.0,0.5,15,68.0,1.158,1.525,36.0,17,9,25
3,0.1,0.3,0.6,2.0,0.5,20,68.0,1.158,1.525,40.0,17,10,25
3,0.1,0.3,0.6,2.0,0.6,10,68.0,1.158,1.525,40.0,17,10,25
3,0.1,0.3,0.6,2.0,0.6,15,68.0,1.158,1.525,48.0,17,12,25
3,0.1,0.3,0.6,2.0,0.6,20,68.0,1.158,1.525,52.0,17,13,25
3,0.1,0.3,0.6,2.0,0.7,10,68.0,1.158,1.525,56.0,17,14,25
3,0.1,0.3,0.6,2.0,0.7,15,68.0,1.158,1.525,56.0,17,14,25
3,0.1,0.3,0.6,2.0,0.7,20,68.0,1.158,1.525,60.0,17,15,25
3,0.1,0.3,0.6,2.5,0.4,10,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,2.5,0.4,15,68.0,1.158,1.525,20.0,17,5,25
3,0.1,0.3,0.6,2.5,0.4,20,68.0,1.158,1.525,20.0,17,5,25
3,0.1,0.3,0.6,2.5,0.5,10,68.0,1.158,1.525,12.0,17,3,25
3,0.1,0.3,0.6,2.5,0.5,15,68.0,1.158,1.525,32.0,17,8,25
3,0.1,0.3,0.6,2.5,0.5,20,68.0,1.158,1.525,36.0,17,9,25
3,0.1,0.3,0.6,2.5,0.6,10,68.0,1.158,1.525,32.0,17,8,25
3,0.1,0.3,0.6,2.5,0.6,15,68.0,1.158,1.525,48.0,17,12,25
3,0.1,0.3,0.6,2.5,0.6,20,68.0,1.158,1.525,52.0,17,13,25
3,0.1,0.3,0.6,2.5,0.7,10,68.0,1.158,1.525,48.0,17,12,25
3,0.1,0.3,0.6,2.5,0.7,15,68.0,1.158,1.525,56.0,17,14,25
3,0.1,0.3,0.6,2.5,0.7,20,68.0,1.158,1.525,60.0,17,15,25
3,0.1,0.3,0.6,3.0,0.4,10,68.0,1.158,1.525,0.0,17,0,25
3,0.1,0.3,0.6,3.0,0.4,15,68.0,1.158,1.525,8.0,17,2,25
3,0.1,0.3,0.6,3.0,0.4,20,68.0,1.158,1.525,8.0,17,2,25
3,0.1,0.3,0.6,3.0,0.5,10,68.0,1.158,1.525,8.0,17,2,25
3,0.1,0.3,0.6,3.0,0.5,15,68.0,1.158,1.525,20.0,17,5,25
3,0.1,0.3,0.6,3.0,0.5,20,68.0,1.158,1.525,24.0,17,6,25
3,0.1,0.3,0.6,3.0,0.6,10,68.0,1.158,1.525,24.0,17,6,25
3,0.1,0.3,0.6,3.0,0.6,15,68.0,1.158,1.525,40.0,17,10,25
3,0.1,0.3,0.6,3.0,0.6,20,68.0,1.158,1.525,44.0,17,11,25
3,0.1,0.3,0.6,3.0,0.7,10,68.0,1.158,1.525,32.0,17,8,25
3,0.1,0.3,0.6,3.0,0.7,15,68.0,1.158,1.525,48.0,17,12,25
3,0.1,0.3,0.6,3.0,0.7,20,68.0,1.158,1.525,52.0,17,13,25
3,0.1,0.3,0.6,3.5,0.4,10,68.0,1.158,1.525,0.0,17,0,25
3,0.1,0.3,0.6,3.5,0.4,15,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,3.5,0.4,20,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,3.5,0.5,10,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,3.5,0.5,15,68.0,1.158,1.525,12.0,17,3,25
3,0.1,0.3,0.6,3.5,0.5,20,68.0,1.158,1.525,16.0,17,4,25
3,0.1,0.3,0.6,3.5,0.6,10,68.0,1.158,1.525,16.0,17,4,25
3,0.1,0.3,0.6,3.5,0.6,15,68.0,1.158,1.525,36.0,17,9,25
3,0.1,0.3,0.6,3.5,0.6,20,68.0,1.158,1.525,40.0,17,10,25
3,0.1,0.3,0.6,3.5,0.7,10,68.0,1.158,1.525,20.0,17,5,25
3,0.1,0.3,0.6,3.5,0.7,15,68.0,1.158,1.525,40.0,17,10,25
3,0.1,0.3,0.6,3.5,0.7,20,68.0,1.158,1.525,44.0,17,11,25
3,0.1,0.3,0.6,4.0,0.4,10,68.0,1.158,1.525,0.0,17,0,25
3,0.1,0.3,0.6,4.0,0.4,15,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,4.0,0.4,20,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,4.0,0.5,10,68.0,1.158,1.525,4.0,17,1,25
3,0.1,0.3,0.6,4.0,0.5,15,68.0,1.158,1.525,12.0,17,3,25
3,0.1,0.3,0.6,4.0,0.5,20,68.0,1.158,1.525,16.0,17,4,25
3,0.1,0.3,0.6,4.0,0.6,10,68.0,1.158,1.525,16.0,17,4,25
3,0.1,0.3,0.6,4.0,0.6,15,68.0,1.158,1.525,36.0,17,9,25
3,0.1,0.3,0.6,4.0,0.6,20,68.0,1.158,1.525,40.0,17,10,25
3,0.1,0.3,0.6,4.0,0.7,10,68.0,1.158,1.525,20.0,17,5,25
3,0.1,0.3,0.6,4.0,0.7,15,68.0,1.158,1.525,40.0,17,10,25
3,0.1,0.3,0.6,4.0,0.7,20,68.0,1.158,1.525,44.0,17,11,25
3,0.1,0.3,0.7,2.0,0.4,10,68.0,1.195,1.6,4.0,17,1,25
3,0.1,0.3,0.7,2.0,0.4,15,68.0,1.195,1.6,28.0,17,7,25
3,0.1,0.3,0.7,2.0,0.4,20,68.0,1.195,1.6,28.0,17,7,25
3,0.1,0.3,0.7,2.0,0.5,10,68.0,1.195,1.6,16.0,17,4,25
3,0.1,0.3,0.7,2.0,0.5,15,68.0,1.195,1.6,36.0,17,9,25
3,0.1,0.3,0.7,2.0,0.5,20,68.0,1.195,1.6,40.0,17,10,25
3,0.1,0.3,0.7,2.0,0.6,10,68.0,1.195,1.6,40.0,17,10,25
3,0.1,0.3,0.7,2.0,0.6,15,68.0,1.195,1.6,48.0,17,12,25
3,0.1,0.3,0.7,2.0,0.6,20,68.0,1.195,1.6,52.0,17,13,25
3,0.1,0.3,0.7,2.0,0.7,10,68.0,1.195,1.6,56.0,17,14,25
3,0.1,0.3,0.7,2.0,0.7,15,68.0,1.195,1.6,56.0,17,14,25
3,0.1,0.3,0.7,2.0,0.7,20,68.0,1.195,1.6,60.0,17,15,25
3,0.1,0.3,0.7,2.5,0.4,10,68.0,1.195,1.6,4.0,17,1,25
3,0.1,0.3,0.7,2.5,0.4,15,68.0,1.195,1.6,20.0,17,5,25
3,0.1,0.3,0.7,2.5,0.4,20,68.0,1.195,1.6,20.0,17,5,25
3,0.1,0.3,0.7,2.5,0.5,10,68.0,1.195,1.6,12.0,17,3,25
3,0.1,0.3,0.7,2.5,0.5,15,68.0,1.195,1.6,32.0,17,8,25
3,0.1,0.3,0.7,2.5,0.5,20,68.0,1.195,1.6,36.0,17,9,25
3,0.1,0.3,0.7,2.5,0.6,10,68.0,1.195,1.6,32.0,17,8,25
3,0.1,0.3,0.7,2.5,0.6,15,68.0,1.195,1.6,48.0,17,12,25
3,0.1,0.3,0.7,2.5,0.6,20,68.0,1.195,1.6,52.0,17,13,25
3,0.1,0.3,0.7,2.5,0.7,10,68.0,1.195,1.6,48.0,17,12,25
3,0.1,0.3,0.7,2.5,0.7,15,68.0,1.195,1.6,56.0,17,14,25
3,0.1,0.3,0.7,2.5,0.7,20,68.0,1.195,1.6,60.0,17,15,25
3,0.1,0.3,0.7,3.0,0.4,10,68.0,1.195,1.6,0.0,17,0,25
3,0.1,0.3,0.7,3.0,0.4,15,68.0,1.195,1.6,8.0,17,2,25
3,0.1,0.3,0.7,3.0,0.4,20,68.0,1.195,1.6,8.0,17,2,25
3,0.1,0.3,0.7,3.0,0.5,10,68.0,1.195,1.6,8.0,17,2,25
3,0.1,0.3,0.7,3.0,0.5,15,68.0,1.195,1.6,20.0,17,5,25
3,0.1,0.3,0.7,3.0,0.5,20,68.0,1.195,1.6,24.0,17,6,25
3,0.1,0.3,0.7,3.0,0.6,10,68.0,1.195,1.6,24.0,17,6,25
