model,avg_intra_topic_similarity,avg_inter_topic_similarity,separability_ratio,unique_topics,n_reflections,embedding_dim
all-MiniLM-L6-v2,0.5352,0.4329,1.2362,260,1560,384
all-mpnet-base-v2,0.5648,0.4738,1.192,260,1560,768
paraphrase-mpnet-base-v2,0.6055,0.5223,1.1593,260,1560,768
multi-qa-MiniLM-L6-cos-v1,0.5422,0.4478,1.2108,260,1560,384
all-MiniLM-L12-v2,0.5335,0.431,1.2377,260,1560,384
